"Nyheter","Tillit","Rettferdige","Pavirkning","Tillit_Storting","Tillit_Dom","Tillit_Politi","Tillit_Politikere","Stemme","Alder","Kjonn","Inntekt","Utdanning"
30,5,4,3,7,6,7,5,6,21,2,2,3
30,8,8,3,7,8,9,7,2,60,2,4,5
180,3,3,1,3,7,1,1,11,33,1,5,5
240,8,8,4,8,9,8,7,2,47,1,10,13
120,8,7,3,7,8,8,7,1,63,1,8,13
180,8,8,2,2,2,7,1,8,61,1,3,9
90,9,9,4,10,9,8,8,6,87,2,NA,3
60,5,7,2,4,4,2,5,3,29,2,3,8
60,7,7,3,8,9,7,5,5,42,2,2,12
15,8,8,2,6,5,8,6,7,46,1,NA,6
60,7,7,3,7,7,8,5,2,57,2,5,13
45,6,8,3,5,5,7,5,NA,47,1,6,10
120,5,8,3,4,6,7,7,5,59,1,8,5
NA,9,8,2,7,9,9,5,3,67,1,6,3
60,7,8,4,9,10,10,7,3,26,2,9,9
45,4,4,4,7,10,7,4,3,35,1,10,13
45,7,8,3,7,8,10,5,NA,55,1,1,3
60,8,9,3,7,8,7,6,11,42,2,7,10
60,5,7,2,7,9,5,5,NA,42,2,6,6
60,3,7,2,10,6,4,5,NA,19,1,10,3
30,5,5,2,2,8,8,3,8,46,1,10,6
15,8,8,3,7,7,8,6,3,50,1,5,6
15,4,6,3,4,8,9,2,NA,16,2,9,2
NA,3,5,3,2,8,4,3,2,26,2,NA,5
60,8,8,3,8,9,6,6,7,48,2,10,11
150,8,8,3,8,8,9,7,4,68,1,4,8
90,10,10,5,10,10,10,9,6,60,2,6,13
60,7,7,3,8,9,9,5,10,44,2,4,12
90,9,9,3,7,10,10,3,6,47,1,6,6
40,9,9,2,8,8,8,7,6,35,2,10,10
30,8,7,4,7,8,8,7,NA,41,2,5,11
15,6,6,3,5,6,8,4,NA,26,1,NA,8
120,8,6,3,8,8,7,8,4,54,1,7,10
5,6,7,2,5,6,4,5,NA,36,2,1,5
45,9,9,2,2,0,6,1,NA,47,1,3,5
60,8,6,3,9,6,8,5,7,67,1,3,6
240,9,8,4,9,10,10,7,6,32,2,6,11
120,8,8,2,10,10,8,7,5,74,1,2,10
30,7,7,4,8,7,5,7,10,34,1,6,13
NA,5,5,2,10,9,10,4,NA,76,1,NA,4
30,6,6,3,7,7,7,6,NA,39,1,6,6
754,7,7,4,8,9,9,8,7,88,1,2,8
60,6,6,3,10,10,9,8,3,69,1,7,13
90,7,8,4,8,9,7,6,6,37,2,8,11
45,8,7,2,7,9,10,6,7,NA,2,2,5
30,8,7,NA,9,8,10,7,NA,21,1,1,6
240,7,7,3,9,8,9,5,4,41,1,6,10
90,3,5,2,3,4,6,2,8,56,1,7,5
60,NA,4,4,5,NA,6,NA,7,51,2,5,3
