"internettbruk","kjonn","alder","utdanning","tillit"
5,1,63,12,0
5,1,16,12,6
5,1,42,8,NA
1,2,58,13,3
5,2,21,13,4
4,1,21,NA,7
5,2,23,18,6
1,2,77,8,2
4,1,55,8,3
4,2,60,13,5
1,2,68,13,0
4,1,68,17,5
1,2,82,1,0
5,1,47,18,0
1,2,76,5,2
5,1,36,17,5
5,1,34,10,8
4,2,45,13,5
4,2,72,8,7
4,2,40,13,6
2,1,43,9,4
5,2,NA,18,5
4,2,52,8,7
5,1,71,5,8
5,2,49,8,4
4,2,30,17,0
2,2,72,18,6
5,2,39,17,6
1,2,85,3,0
5,1,29,14,5
5,1,48,13,4
2,1,42,8,NA
5,1,23,15,4
5,2,17,12,NA
5,1,49,8,3
5,1,23,13,6
5,2,42,5,6
5,1,17,9,3
5,2,33,16,0
1,1,66,5,4
4,1,50,13,7
1,1,82,5,3
5,2,25,9,5
2,2,32,13,5
4,2,49,8,4
5,2,54,25,9
5,2,66,18,NA
5,1,21,11,2
3,2,63,8,4
5,2,32,19,7
3,2,80,NA,7
5,1,58,13,3
5,2,44,19,7
1,2,83,5,5
1,2,19,13,5
3,1,51,14,5
5,2,55,13,5
5,2,19,12,NA
1,2,82,13,5
5,2,41,19,4
5,1,18,12,8
5,1,73,8,0
5,2,29,18,4
1,1,71,8,6
4,1,44,8,6
4,2,54,18,5
5,2,61,18,9
3,1,45,13,5
1,1,90,13,2
5,1,19,15,6
5,2,36,13,0
1,2,59,2,0
5,2,77,13,5
5,1,20,13,NA
3,1,73,9,0
5,2,25,17,3
2,1,71,9,1
5,2,35,13,0
5,1,70,5,5
5,1,23,13,4
1,1,59,8,0
2,1,62,8,1
4,2,57,8,4
1,1,84,12,3
5,1,68,20,5
4,2,59,13,4
1,2,66,8,7
2,1,52,10,5
5,2,19,13,1
1,2,66,8,4
5,2,54,8,2
5,2,20,13,6
1,2,75,5,0
5,1,40,18,6
1,2,65,13,6
5,1,43,13,1
4,1,28,15,6
2,2,79,8,1
5,1,37,18,2
5,1,58,13,2
2,2,65,8,4
5,1,32,14,5
5,1,61,8,0
1,2,65,8,1
3,2,63,11,8
5,1,61,8,5
5,2,21,14,4
2,1,64,8,3
2,2,61,10,10
5,1,38,14,6
5,1,27,18,5
1,1,59,8,8
4,2,23,13,4
5,1,53,8,3
1,2,84,7,2
5,1,41,13,7
1,2,82,5,NA
4,1,69,12,7
5,2,19,12,5
5,1,40,15,8
1,2,54,8,8
1,2,90,4,3
5,2,34,19,8
4,2,55,8,3
5,1,46,10,8
5,1,68,10,1
1,2,84,8,7
1,2,85,5,3
3,1,77,5,8
5,2,50,13,4
4,2,65,12,7
5,1,36,16,5
4,1,70,8,1
5,2,42,15,4
4,2,21,13,3
2,1,58,8,4
5,1,69,8,4
2,1,22,9,NA
1,2,72,5,6
1,2,40,8,8
5,1,22,16,6
4,2,49,18,3
5,2,21,14,4
5,2,18,12,NA
4,1,53,8,6
1,1,47,NA,0
5,2,16,10,5
3,1,54,10,3
4,2,56,13,7
5,2,23,13,7
5,1,44,10,4
5,1,53,10,8
5,1,62,13,0
5,2,54,13,6
1,1,86,5,6
5,1,60,13,5
2,1,45,9,2
5,1,31,8,5
3,1,80,13,5
1,1,86,8,1
5,2,38,18,6
5,1,34,13,0
1,2,79,NA,NA
5,1,27,13,5
1,2,78,5,4
5,1,17,11,10
5,1,27,13,5
5,1,43,15,6
5,2,28,14,2
5,1,71,8,6
4,1,52,8,7
1,2,73,13,6
4,2,50,13,5
5,2,38,8,5
2,2,81,8,0
2,1,73,12,0
1,2,80,5,7
1,2,64,8,4
5,2,42,17,4
5,1,63,13,7
1,2,78,13,0
5,1,19,13,6
4,2,22,16,5
5,1,32,11,2
1,1,79,8,7
2,2,58,13,6
5,2,71,13,5
1,2,67,4,6
5,2,25,13,0
4,2,36,20,4
5,2,55,14,2
5,2,36,12,6
5,2,28,20,4
5,1,56,23,7
5,2,68,18,6
5,1,51,13,5
1,2,72,5,1
5,1,61,13,6
5,1,44,14,5
3,2,27,13,5
3,2,54,13,5
1,2,87,6,5
3,2,53,11,7
3,1,28,8,0
5,1,69,13,8
5,1,54,16,4
1,1,87,3,5
4,2,68,5,5
1,2,90,5,5
5,2,44,15,5
3,2,70,13,2
1,2,68,8,6
5,2,48,8,6
5,2,28,16,4
1,2,61,8,5
4,1,68,13,7
5,1,38,20,3
4,1,18,12,NA
5,2,24,13,6
5,1,46,14,6
1,2,37,13,0
5,1,23,16,6
1,1,90,5,1
3,2,43,NA,9
3,2,53,11,9
4,2,50,15,9
5,2,57,11,7
5,2,25,13,3
5,2,50,14,4
5,1,58,13,1
1,1,78,8,5
5,1,23,17,5
1,2,87,5,3
5,2,41,13,2
1,2,35,8,3
5,1,37,10,0
1,2,76,5,3
1,1,83,5,3
2,2,66,5,3
2,2,42,12,0
5,2,58,8,3
5,1,67,14,6
5,2,32,13,5
1,1,81,11,0
1,2,80,6,7
5,2,38,13,8
4,2,19,11,2
1,2,79,8,5
5,1,23,13,0
1,2,83,5,5
1,2,81,6,3
4,2,46,18,0
5,2,53,14,1
5,1,40,13,1
5,2,50,10,2
4,1,35,10,0
1,2,79,11,5
1,2,75,12,5
2,1,77,10,0
5,2,29,15,0
5,2,47,19,4
1,2,47,8,10
5,1,43,13,6
4,1,23,11,2
5,1,55,13,5
5,2,40,16,3
3,2,49,15,3
4,1,57,13,6
3,1,47,NA,6
5,1,39,13,5
5,1,26,13,5
5,2,58,10,5
2,2,48,13,6
1,2,77,5,5
5,2,52,11,5
4,1,78,13,7
5,2,20,16,3
5,2,47,13,4
3,2,62,8,0
5,2,45,16,5
5,2,38,11,8
1,1,64,8,2
1,2,78,3,0
3,1,31,8,2
5,1,64,8,4
5,2,44,8,NA
2,2,43,13,1
1,2,82,8,5
1,2,79,0,2
5,2,39,8,6
4,1,33,11,8
5,1,27,8,6
5,2,66,11,5
4,2,32,16,8
1,1,84,5,2
5,2,48,10,8
2,1,89,3,6
4,1,41,15,5
1,2,64,8,2
5,1,29,23,8
5,2,34,11,4
5,2,28,11,4
2,2,42,9,6
5,2,30,13,2
5,1,47,13,4
5,2,30,13,0
1,2,73,10,4
5,2,58,8,2
5,1,24,18,0
4,2,38,16,8
1,1,59,8,8
5,1,38,8,0
5,1,48,13,6
1,2,65,5,1
1,2,88,5,4
2,1,70,10,7
3,2,65,19,2
5,1,53,13,2
5,2,34,13,3
5,1,66,20,3
5,1,58,13,7
1,1,86,3,5
3,1,34,8,6
4,2,66,8,7
5,1,24,18,6
4,1,42,13,0
5,1,28,18,6
5,2,64,13,3
2,2,62,8,5
4,1,62,13,9
4,2,44,18,4
5,1,70,16,7
5,2,49,14,3
2,2,58,8,7
4,1,24,12,6
2,2,50,8,2
4,2,52,13,5
5,2,39,13,2
3,1,44,14,6
5,2,18,12,6
4,1,64,8,5
1,1,69,9,3
5,1,26,NA,NA
4,1,62,13,0
1,1,70,8,3
5,2,68,16,0
5,2,63,18,5
2,2,82,5,2
5,1,16,10,5
1,2,56,8,0
5,1,55,13,2
5,1,37,9,6
5,2,40,13,3
1,2,36,8,2
5,2,18,12,1
5,1,21,14,3
5,1,16,10,9
1,2,66,6,5
4,2,47,12,1
1,2,73,5,2
5,1,22,14,6
2,2,60,13,3
4,2,59,13,4
2,1,64,8,4
5,2,23,17,3
5,2,47,15,5
3,2,51,8,1
5,1,40,20,3
5,1,27,13,5
5,1,64,15,1
5,2,66,8,4
5,1,58,13,6
1,1,78,5,5
5,1,43,11,6
4,2,58,15,5
1,2,53,5,0
5,2,31,13,6
1,2,75,5,10
5,1,20,13,8
5,1,23,13,2
5,1,48,12,8
5,2,46,18,2
1,1,72,5,3
2,2,59,13,0
4,1,66,14,5
4,2,63,13,0
1,2,57,8,5
5,1,46,18,4
5,2,61,8,2
2,2,72,6,4
5,1,44,13,6
5,2,43,13,7
5,1,39,13,7
1,2,70,11,5
1,1,56,4,2
1,2,73,6,3
2,2,61,13,2
5,2,30,19,0
4,1,60,8,8
1,1,71,5,6
5,1,61,8,4
5,2,58,13,8
5,1,44,9,3
5,2,53,18,2
5,2,67,10,3
5,2,27,13,0
5,2,24,15,7
1,2,72,5,7
4,1,16,10,NA
5,2,37,14,0
1,1,65,5,7
1,2,79,5,0
5,1,28,18,NA
5,2,29,8,5
5,2,40,11,5
5,2,70,13,5
5,1,47,18,4
3,2,52,12,2
1,2,67,5,6
5,2,24,14,0
5,1,41,12,2
1,2,86,5,5
5,2,37,8,6
4,2,56,10,3
5,2,46,18,2
2,1,57,11,6
5,2,49,12,6
5,1,23,14,8
1,1,78,10,0
5,2,32,13,7
5,1,20,14,4
1,1,68,8,3
5,2,50,20,5
5,1,18,10,5
5,2,33,10,6
5,2,70,14,5
2,2,56,15,10
5,1,57,8,1
1,2,84,5,3
2,2,66,9,2
5,2,38,26,5
5,1,25,13,4
5,1,31,15,1
4,2,61,13,4
5,1,68,15,1
5,2,54,11,6
5,1,44,13,5
1,1,50,9,10
2,1,46,13,4
5,1,48,13,4
2,2,55,8,0
5,2,41,11,3
1,2,89,3,0
5,2,43,17,1
5,1,44,11,0
5,1,61,20,4
5,2,43,16,5
4,2,42,13,6
5,2,45,13,7
5,2,55,8,4
5,2,30,12,7
5,2,21,14,6
4,2,65,13,5
5,2,30,16,5
5,1,63,13,7
5,1,44,13,4
2,1,77,13,3
4,1,43,12,5
5,2,37,13,6
5,1,49,12,5
5,1,56,10,7
5,1,43,17,2
5,1,65,14,1
4,1,20,NA,NA
1,2,67,5,0
5,1,57,15,6
5,2,48,19,5
5,2,23,13,5
5,1,27,20,4
4,2,25,14,2
5,1,51,8,0
4,1,47,8,2
5,1,31,13,7
1,2,78,5,5
1,2,51,8,4
5,2,20,13,0
5,1,17,11,6
4,1,82,3,5
5,2,28,16,5
5,2,58,6,2
2,1,53,NA,7
4,1,43,16,0
5,1,60,8,4
2,1,61,13,1
4,1,46,19,2
1,2,72,5,5
5,1,67,NA,4
5,2,22,13,NA
5,2,37,8,4
5,1,37,9,2
1,2,70,5,7
1,1,72,5,4
1,2,90,15,10
5,2,23,13,NA
1,2,90,NA,6
1,2,57,5,6
1,1,82,5,5
5,1,50,13,3
5,2,33,13,1
5,2,17,11,NA
5,1,46,13,2
5,2,47,8,10
5,1,35,15,3
5,1,27,NA,1
4,2,50,8,7
5,2,62,8,4
5,1,48,13,5
5,2,18,10,NA
3,2,53,13,5
5,2,63,11,7
5,2,40,13,1
5,1,68,17,5
4,2,48,8,2
4,1,58,8,4
2,1,32,NA,0
1,2,71,5,0
5,2,28,8,4
5,2,29,8,0
5,1,49,19,7
5,2,54,13,4
1,2,78,5,4
5,1,58,16,3
1,2,47,9,1
4,1,57,16,6
1,1,65,8,3
5,2,26,20,5
5,1,47,16,5
5,1,24,11,5
5,2,39,18,4
5,2,31,17,5
5,2,40,13,5
1,1,76,8,5
5,1,40,15,3
5,1,59,8,5
5,2,54,12,NA
1,2,77,15,4
3,1,65,8,3
4,1,21,13,9
4,2,62,8,3
5,2,49,16,6
5,1,54,13,7
5,1,41,13,5
5,1,19,13,6
5,2,80,19,4
5,2,19,15,7
1,2,80,5,0
5,1,54,15,8
1,2,76,8,6
2,1,25,8,4
5,2,41,13,2
2,2,69,5,6
NA,1,81,13,7
5,1,46,18,8
5,1,60,13,2
5,1,26,23,6
1,1,81,5,6
5,2,49,19,4
1,2,76,11,5
5,1,24,18,5
5,2,52,13,0
5,1,42,15,5
5,2,54,15,0
5,2,33,16,5
5,2,28,20,7
5,1,31,12,1
2,2,29,8,0
1,2,59,8,3
5,1,28,15,6
1,2,86,5,5
5,2,38,18,3
5,1,19,13,5
1,2,68,8,8
4,1,63,16,5
4,2,27,8,1
1,1,76,5,0
5,2,18,13,4
4,2,42,13,7
5,2,46,8,5
5,1,39,8,4
4,2,46,8,7
5,2,40,12,5
3,2,59,NA,8
5,1,47,18,5
1,1,84,5,4
5,1,NA,13,6
5,1,48,18,9
2,2,33,3,NA
5,1,19,13,5
4,2,77,8,0
1,2,76,9,5
5,2,54,11,4
1,1,45,10,4
5,1,43,20,4
5,2,19,12,0
1,2,71,8,4
5,1,58,10,6
1,2,70,5,NA
5,2,27,13,6
4,1,40,12,4
4,1,67,15,0
1,2,90,4,6
5,2,47,11,6
5,1,26,13,6
5,1,50,8,5
1,2,55,8,0
3,1,40,8,NA
5,2,57,15,3
5,2,40,16,6
5,1,20,7,2
5,2,24,16,6
5,1,35,16,7
5,1,48,13,5
5,2,40,13,5
5,1,47,11,4
1,2,77,8,0
5,2,36,16,4
5,1,51,18,0
1,1,73,5,0
1,1,76,5,4
5,2,19,13,6
5,2,67,9,NA
5,1,38,17,4
5,2,58,10,0
2,1,35,13,2
1,1,73,7,0
5,2,19,NA,0
3,1,73,13,5
1,2,55,8,6
1,1,77,4,4
4,2,58,12,3
1,1,74,5,4
3,1,69,8,6
1,2,73,1,6
1,1,86,5,3
5,1,66,13,5
5,2,28,11,4
4,1,35,12,4
3,1,38,13,5
4,1,62,16,5
5,1,58,9,5
1,2,63,14,2
5,1,36,16,3
4,1,59,18,4
5,2,33,16,5
5,2,53,13,4
5,2,55,13,5
1,2,56,8,5
5,1,24,17,5
1,2,85,12,6
5,2,49,13,4
5,2,26,19,6
5,1,47,8,7
5,2,52,17,7
1,2,67,5,0
5,1,26,9,7
1,2,90,3,1
1,1,90,2,2
1,2,78,5,0
5,1,16,10,7
5,2,52,16,3
1,2,73,8,7
5,2,39,11,5
5,1,59,13,8
5,2,17,11,6
1,2,78,5,3
5,1,22,13,5
1,2,66,10,0
5,1,27,8,1
5,2,77,18,7
5,1,64,14,6
2,1,65,8,6
1,1,63,8,5
4,2,48,10,0
5,1,47,20,6
5,1,68,14,7
4,1,79,3,7
2,1,51,13,6
5,2,51,13,3
5,2,19,15,7
4,1,35,13,0
4,2,17,12,NA
5,1,75,8,8
5,1,NA,18,3
1,1,78,8,0
5,1,24,13,0
5,1,46,13,7
1,2,90,2,0
5,2,48,16,0
5,1,51,14,8
4,1,38,13,1
2,2,71,5,6
4,1,61,12,4
5,1,39,14,0
3,2,75,13,NA
1,1,50,8,3
1,2,51,11,2
2,2,82,8,5
4,2,69,18,0
5,2,55,23,7
5,1,44,8,0
5,1,50,15,2
1,1,55,13,3
5,1,26,13,5
1,2,61,12,5
1,2,74,9,0
4,1,37,12,5
5,1,30,8,1
5,2,43,10,2
5,1,27,13,3
4,2,19,13,6
3,2,39,8,0
1,1,66,8,0
5,1,37,15,5
4,2,38,8,8
5,1,26,19,6
1,2,77,13,7
1,1,80,5,6
1,1,75,8,7
2,2,67,7,0
1,1,78,5,5
5,2,53,13,5
5,1,54,8,6
1,2,58,13,NA
5,1,18,12,7
3,1,34,14,5
4,2,61,8,3
4,2,70,12,0
5,1,21,15,6
5,1,24,10,5
3,2,49,11,1
1,1,67,8,2
5,2,21,13,2
1,2,54,11,1
5,1,23,13,6
5,2,32,13,5
2,2,71,10,10
2,2,65,8,5
1,1,80,5,5
4,1,41,8,0
2,1,49,7,1
5,2,73,17,6
5,2,55,13,5
1,2,76,2,4
1,2,76,NA,0
5,1,46,17,7
4,1,35,NA,1
5,1,61,13,6
2,2,72,13,0
5,1,43,13,2
2,1,65,8,8
2,1,36,8,5
5,1,57,18,9
5,1,57,13,6
5,2,61,18,3
5,2,33,13,5
4,1,47,15,5
4,1,42,13,5
3,2,57,14,6
1,1,NA,8,5
5,1,43,14,7
4,2,55,10,5
4,1,77,20,4
4,1,34,11,5
1,2,83,5,7
2,2,51,11,5
5,2,17,11,3
5,1,16,10,8
1,2,80,5,6
5,1,38,13,7
3,2,47,8,0
2,1,71,5,6
5,1,36,20,4
3,2,76,NA,2
5,2,28,13,5
5,1,29,13,3
5,1,47,13,2
5,1,51,13,7
5,1,36,16,4
1,2,69,9,3
5,2,43,19,6
5,2,82,5,5
5,2,17,8,9
1,1,65,9,5
1,2,89,5,2
5,2,54,13,10
3,1,35,13,2
5,1,74,12,5
5,1,19,10,NA
4,1,47,10,1
5,2,50,8,0
4,1,75,18,6
5,1,73,19,3
3,2,32,12,NA
5,1,48,20,6
3,1,65,20,7
4,1,39,11,3
2,1,61,13,0
1,2,83,6,0
5,2,39,16,3
1,1,84,3,0
5,1,42,13,6
5,2,47,13,3
1,1,88,5,6
4,1,23,9,0
5,2,24,NA,7
1,1,66,8,4
5,2,36,18,1
3,2,75,5,0
5,2,48,13,5
1,2,63,8,8
5,2,44,8,6
4,2,54,8,5
5,2,25,9,0
1,2,56,8,0
1,2,64,5,7
5,2,16,10,5
4,1,30,8,10
5,1,29,13,3
4,1,65,8,3
2,2,62,9,0
1,1,73,8,5
4,2,51,11,0
2,2,80,8,0
5,1,49,16,10
4,2,44,8,3
1,2,63,8,2
1,2,90,2,7
1,1,55,8,4
2,1,66,15,7
5,2,59,12,5
1,2,79,5,3
5,1,27,11,NA
1,2,74,8,3
5,1,29,17,NA
5,1,54,8,0
1,1,69,13,0
1,2,49,8,5
5,1,43,20,6
5,2,62,13,2
3,1,40,8,NA
4,2,73,8,3
1,2,77,12,3
5,2,43,11,0
5,2,46,13,6
5,2,35,13,5
5,1,51,16,6
3,1,43,12,7
5,2,61,13,5
2,2,58,8,6
1,2,66,9,3
2,2,59,13,5
5,1,53,13,7
5,1,17,11,NA
1,2,89,2,NA
1,1,75,NA,7
5,2,17,11,5
1,2,77,3,0
2,2,71,8,7
1,2,75,8,4
5,2,59,15,5
5,2,37,13,6
5,1,18,15,9
1,2,72,5,6
4,2,48,8,7
4,1,56,8,0
NA,2,NA,NA,NA
