"polintr","actrolga","prtvtcgb","lrscale","stflife","stfdem","stfhlth","euftf","imbgeco","imueclt","inprdsc","atchctr","dscrrce","dscrsex","eisced","cntry"
4,4,NA,5,9,2,3,8,1,4,4,4,0,0,3,"DE"
3,2,NA,2,6,2,8,2,7,8,5,5,0,0,3,"DE"
1,3,NA,6,3,0,2,3,9,7,4,1,0,0,6,"DE"
1,2,NA,5,9,7,6,3,6,6,1,8,0,0,3,"DE"
1,4,NA,3,9,9,5,9,9,10,3,7,0,0,3,"DE"
3,2,NA,5,8,6,4,6,4,6,2,8,0,0,3,"DE"
2,2,NA,5,9,7,6,6,4,5,4,9,0,0,7,"DE"
2,3,NA,7,8,3,2,10,2,1,1,10,0,0,2,"DE"
3,2,NA,3,8,6,9,2,2,3,1,8,0,0,3,"DE"
1,4,NA,8,10,3,8,0,5,5,6,5,0,0,5,"DE"
3,3,NA,5,9,4,6,4,4,4,3,3,0,0,3,"DE"
2,2,NA,7,10,4,8,1,3,5,4,9,0,0,3,"DE"
4,3,NA,0,9,4,10,8,0,1,4,8,0,0,3,"DE"
1,3,NA,5,8,6,7,7,7,7,4,7,0,0,3,"DE"
2,2,NA,3,8,3,5,6,6,0,4,6,0,0,3,"DE"
4,NA,NA,NA,4,0,NA,NA,0,0,1,8,0,0,NA,"DE"
1,3,NA,5,6,4,8,5,2,3,3,10,0,0,5,"DE"
1,4,NA,7,8,8,9,3,5,2,4,10,0,0,7,"DE"
1,5,NA,3,9,7,6,10,9,9,5,9,0,0,7,"DE"
1,1,NA,0,10,8,5,6,10,10,4,10,0,0,3,"DE"
3,2,NA,5,8,3,5,NA,0,5,2,5,0,0,3,"DE"
2,2,NA,5,9,4,6,5,8,7,3,9,0,0,5,"DE"
2,2,NA,5,9,4,8,7,7,6,4,9,0,0,1,"DE"
2,3,NA,3,6,5,4,7,7,7,3,7,0,0,7,"DE"
1,3,NA,0,8,4,10,5,7,2,4,10,0,0,2,"DE"
3,1,NA,5,2,3,5,5,5,4,3,5,0,0,4,"DE"
3,1,NA,NA,4,NA,4,4,7,7,2,3,0,0,3,"DE"
1,3,NA,2,9,9,5,10,10,10,4,10,0,0,2,"DE"
2,3,NA,4,8,8,6,8,8,8,6,8,0,0,7,"DE"
3,1,NA,5,8,7,8,5,5,8,3,10,0,0,3,"DE"
2,3,NA,3,8,10,7,10,9,7,6,2,0,0,1,"DE"
1,2,NA,3,6,3,4,8,7,7,4,9,0,0,6,"DE"
3,1,NA,5,10,8,9,0,5,9,3,6,0,0,3,"DE"
1,2,NA,5,8,8,5,8,7,5,4,8,0,0,3,"DE"
1,3,NA,8,9,7,8,5,8,1,3,10,0,0,3,"DE"
